software.sava.idl.clients.kamino.scope.entries.CappedMostRecentOf,toString,46,EmptyObjectReturnValsMutator,NO_COVERAGE
software.sava.idl.clients.kamino.scope.entries.Chainlink,oracleType,19,NullReturnValsMutator,NO_COVERAGE
software.sava.idl.clients.kamino.scope.entries.ChainlinkExchangeRate,oracleType,13,NullReturnValsMutator,NO_COVERAGE
software.sava.idl.clients.kamino.scope.entries.ChainlinkNAV,oracleType,13,NullReturnValsMutator,NO_COVERAGE
software.sava.idl.clients.kamino.scope.entries.ChainlinkRWA,oracleType,17,NullReturnValsMutator,NO_COVERAGE
software.sava.idl.clients.kamino.scope.entries.ChainlinkX,oracleType,17,NullReturnValsMutator,NO_COVERAGE
software.sava.idl.clients.kamino.scope.entries.Conditional,equals,20,RemoveConditionalMutator_EQUAL_ELSE,NO_COVERAGE
software.sava.idl.clients.kamino.scope.entries.Conditional,equals,20,RemoveConditionalMutator_EQUAL_IF,NO_COVERAGE
software.sava.idl.clients.kamino.scope.entries.Conditional,equals,21,RemoveConditionalMutator_EQUAL_ELSE,NO_COVERAGE
software.sava.idl.clients.kamino.scope.entries.Conditional,equals,21,RemoveConditionalMutator_EQUAL_IF,NO_COVERAGE
software.sava.idl.clients.kamino.scope.entries.Conditional,equals,23,BooleanTrueReturnValsMutator,NO_COVERAGE
software.sava.idl.clients.kamino.scope.entries.Conditional,equals,23,RemoveConditionalMutator_EQUAL_ELSE,NO_COVERAGE
software.sava.idl.clients.kamino.scope.entries.Conditional,equals,23,RemoveConditionalMutator_EQUAL_IF,NO_COVERAGE
software.sava.idl.clients.kamino.scope.entries.Conditional,equals,26,RemoveConditionalMutator_EQUAL_ELSE,NO_COVERAGE
software.sava.idl.clients.kamino.scope.entries.Conditional,equals,26,RemoveConditionalMutator_EQUAL_IF,NO_COVERAGE
software.sava.idl.clients.kamino.scope.entries.Conditional,equals,28,BooleanTrueReturnValsMutator,NO_COVERAGE
software.sava.idl.clients.kamino.scope.entries.Conditional,hashCode,35,MathMutator,NO_COVERAGE
software.sava.idl.clients.kamino.scope.entries.Conditional,hashCode,35,RemoveConditionalMutator_EQUAL_ELSE,NO_COVERAGE
software.sava.idl.clients.kamino.scope.entries.Conditional,hashCode,35,RemoveConditionalMutator_EQUAL_IF,NO_COVERAGE
software.sava.idl.clients.kamino.scope.entries.Conditional,hashCode,36,MathMutator,NO_COVERAGE
software.sava.idl.clients.kamino.scope.entries.Conditional,hashCode,37,MathMutator,NO_COVERAGE
software.sava.idl.clients.kamino.scope.entries.Conditional,hashCode,38,PrimitiveReturnsMutator,NO_COVERAGE
software.sava.idl.clients.kamino.scope.entries.Conditional,oracleType,15,NullReturnValsMutator,NO_COVERAGE
software.sava.idl.clients.kamino.scope.entries.Conditional,toString,43,EmptyObjectReturnValsMutator,NO_COVERAGE
software.sava.idl.clients.kamino.scope.entries.DiscountToMaturity,oracleType,9,NullReturnValsMutator,NO_COVERAGE
software.sava.idl.clients.kamino.scope.entries.FixedPrice,createEntry,10,ConditionalsBoundaryMutator,SURVIVED
software.sava.idl.clients.kamino.scope.entries.FixedPrice,createEntry,10,RemoveConditionalMutator_ORDER_ELSE,SURVIVED
software.sava.idl.clients.kamino.scope.entries.FixedPrice,createEntry,10,RemoveConditionalMutator_ORDER_IF,SURVIVED
software.sava.idl.clients.kamino.scope.entries.FixedPrice,createEntry,13,NullReturnValsMutator,SURVIVED
software.sava.idl.clients.kamino.scope.entries.FixedPrice,oracleType,18,NullReturnValsMutator,NO_COVERAGE
software.sava.idl.clients.kamino.scope.entries.FlashtradeLp,oracleType,13,NullReturnValsMutator,NO_COVERAGE
software.sava.idl.clients.kamino.scope.entries.JitoRestaking,oracleType,13,NullReturnValsMutator,NO_COVERAGE
software.sava.idl.clients.kamino.scope.entries.JupiterLpFetch,oracleType,13,NullReturnValsMutator,NO_COVERAGE
software.sava.idl.clients.kamino.scope.entries.KToken,oracleType,13,NullReturnValsMutator,NO_COVERAGE
software.sava.idl.clients.kamino.scope.entries.MeteoraDlmmAtoB,oracleType,13,NullReturnValsMutator,NO_COVERAGE
software.sava.idl.clients.kamino.scope.entries.MeteoraDlmmBtoA,oracleType,13,NullReturnValsMutator,NO_COVERAGE
software.sava.idl.clients.kamino.scope.entries.MostRecentOfEntry,equals,23,RemoveConditionalMutator_EQUAL_ELSE,NO_COVERAGE
software.sava.idl.clients.kamino.scope.entries.MostRecentOfEntry,equals,23,RemoveConditionalMutator_EQUAL_IF,NO_COVERAGE
software.sava.idl.clients.kamino.scope.entries.MostRecentOfEntry,equals,24,RemoveConditionalMutator_EQUAL_ELSE,NO_COVERAGE
software.sava.idl.clients.kamino.scope.entries.MostRecentOfEntry,equals,24,RemoveConditionalMutator_EQUAL_IF,NO_COVERAGE
software.sava.idl.clients.kamino.scope.entries.MostRecentOfEntry,equals,26,RemoveConditionalMutator_EQUAL_ELSE,NO_COVERAGE
